Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,24,0,0,9.29,,,
2016,11,24,1,0,8.74,,,
2016,11,24,2,0,8.26,,,
2016,11,24,3,0,8.26,,,
2016,11,24,4,0,7.29,,,
2016,11,24,5,0,6.38,,,
2016,11,24,6,0,6.18,,,
2016,11,24,7,0,5.82,,,
2016,11,24,8,0,5.94,,,
2016,11,24,9,0,6.86,,,
2016,11,24,10,0,7.64,,,
2016,11,24,11,0,8.26,,,
2016,11,24,12,0,8.84,,,
2016,11,24,13,0,9.57,,,
2016,11,24,14,0,10.49,,,
2016,11,24,15,0,10.9,,,
2016,11,24,16,0,10.88,,,
2016,11,24,17,0,10.83,,,
2016,11,24,18,0,10.06,,,
2016,11,24,19,0,8.84,,,
2016,11,24,20,0,8.01,,,
2016,11,24,21,0,7.82,,,
2016,11,24,22,0,7.76,,,
2016,11,24,23,0,6.41,,,
2016,11,25,0,0,6.06,,,
2016,11,25,1,0,5.98,,,
2016,11,25,2,0,5.95,,,
2016,11,25,3,0,5.67,,,
2016,11,25,4,0,5.73,,,
2016,11,25,5,0,5.69,,,
2016,11,25,6,0,5.59,,,
2016,11,25,7,0,5.28,,,
2016,11,25,8,0,5.02,,,
2016,11,25,9,0,5.18,,,
2016,11,25,10,0,6.46,,,
2016,11,25,11,0,6.7,,,
2016,11,25,12,0,6.4,,,
2016,11,25,13,0,7.83,,,
2016,11,25,14,0,7.94,,,
2016,11,25,15,0,7.96,,,
2016,11,25,16,0,8.14,,,
2016,11,25,17,0,8.06,,,
2016,11,25,18,0,8,,,
2016,11,25,19,0,8.01,,,
2016,11,25,20,0,7.99,,,
2016,11,25,21,0,8.03,,,
2016,11,25,22,0,8.04,,,
2016,11,25,23,0,8.06,,,
2016,11,26,0,0,7.86,,,
2016,11,26,1,0,7.16,,,
2016,11,26,2,0,6.76,,,
2016,11,26,3,0,6.6,,,
2016,11,26,4,0,6.59,,,
2016,11,26,5,0,6.65,,,
2016,11,26,6,0,6.62,,,
2016,11,26,7,0,6.54,,,
2016,11,26,8,0,6.53,,,
2016,11,26,9,0,7.01,,,
2016,11,26,10,0,7.61,,,
2016,11,26,11,0,8.36,,,
2016,11,26,12,0,9.76,,,
2016,11,26,13,0,11.01,,,
2016,11,26,14,0,11.38,,,
2016,11,26,15,0,11.5,,,
2016,11,26,16,0,11.22,,,
2016,11,26,17,0,10.68,,,
2016,11,26,18,0,10.35,,,
2016,11,26,19,0,10.05,,,
2016,11,26,20,0,9.67,,,
2016,11,26,21,0,9.13,,,
2016,11,26,22,0,8.64,,,
2016,11,26,23,0,8.04,,,
2016,11,27,0,0,7.41,,,
2016,11,27,1,0,7.08,,,
2016,11,27,2,0,7.01,,,
2016,11,27,3,0,6.96,,,
2016,11,27,4,0,7.03,,,
2016,11,27,5,0,6.83,,,
2016,11,27,6,0,6.55,,,
2016,11,27,7,0,5.57,,,
2016,11,27,8,0,4.57,,,
2016,11,27,9,0,4.47,,,
2016,11,27,10,0,5.34,,,
2016,11,27,11,0,6.57,,,
2016,11,27,12,0,8.21,,,
2016,11,27,13,0,9.36,,,
2016,11,27,14,0,9.38,,,
2016,11,27,15,0,9.5,,,
2016,11,27,16,0,9.54,,,
2016,11,27,17,0,8.91,,,
2016,11,27,18,0,7.67,,,
2016,11,27,19,0,7.27,,,
2016,11,27,20,0,7.47,,,
2016,11,27,21,0,7.14,,,
2016,11,27,22,0,6.72,,,
2016,11,27,23,0,5.96,,,
2016,11,28,0,0,5.33,,,
2016,11,28,1,0,4.98,,,
2016,11,28,2,0,4.76,,,
2016,11,28,3,0,3.84,,,
2016,11,28,4,0,3.01,,,
2016,11,28,5,0,2.25,,,
2016,11,28,6,0,1.31,,,
2016,11,28,7,0,0.62,,,
2016,11,28,8,0,0.13,,,
2016,11,28,9,0,0.65,,,
2016,11,28,10,0,2.09,,,
2016,11,28,11,0,3.24,,,
2016,11,28,12,0,4.14,,,
2016,11,28,13,0,5.53,,,
2016,11,28,14,0,5.52,,,
2016,11,28,15,0,5.05,,,
2016,11,28,16,0,3.92,,,
2016,11,28,17,0,2.21,,,
2016,11,28,18,0,1.12,,,
2016,11,28,19,0,0.55,,,
2016,11,28,20,0,0.27,,,
2016,11,28,21,0,-0.01,,,
2016,11,28,22,0,0,,,
2016,11,28,23,0,-0.06,,,
2016,11,29,0,0,-0.07,,,
2016,11,29,1,0,-0.21,,,
2016,11,29,2,0,-0.28,,,
2016,11,29,3,0,-0.44,,,
2016,11,29,4,0,-0.53,,,
2016,11,29,5,0,-0.62,,,
2016,11,29,6,0,-0.79,,,
2016,11,29,7,0,-0.96,,,
2016,11,29,8,0,-1.16,,,
2016,11,29,9,0,-0.55,,,
2016,11,29,10,0,0.77,,,
2016,11,29,11,0,1.82,,,
2016,11,29,12,0,2.62,,,
2016,11,29,13,0,3.89,,,
2016,11,29,14,0,4.35,,,
2016,11,29,15,0,4.32,,,
2016,11,29,16,0,3.18,,,
2016,11,29,17,0,1.78,,,
2016,11,29,18,0,1.06,,,
2016,11,29,19,0,0.77,,,
2016,11,29,20,0,0.73,,,
2016,11,29,21,0,0.6,,,
2016,11,29,22,0,0.26,,,
2016,11,29,23,0,0.3,,,
2016,11,30,0,0,0.36,,,
2016,11,30,1,0,0.03,,,
